rnti,frame,slot,dci,rb_alloc,mcs,rv_idx1,harq_process
18160,396,13,1_1,0x165,27,0,4
18160,396,14,1_1,0x3fc,27,0,5
18160,398,15,0_1,0x2,24,0,0
18160,399,11,0_1,0x62,24,0,0
18160,400,6,1_1,0x32,27,0,0
18160,400,7,1_1,0x33,26,0,1
18160,400,15,0_1,0x30,24,0,0
18160,401,7,1_1,0x64,26,0,0
18160,402,15,0_1,0x2,24,0,0
18160,403,11,0_1,0x2,25,0,0
18160,404,6,1_1,0x32,27,0,0
18160,404,7,1_1,0x64,26,0,1
18160,404,10,1_1,0x0,27,0,2
18160,404,12,1_1,0x65,26,0,3
18160,404,13,1_1,0x165,27,0,4
18160,404,14,1_1,0x41a,27,0,5
18160,406,15,0_1,0x2,26,0,0
18160,407,11,0_1,0x2,26,1,0
18160,408,5,0_1,0x30,25,0,0
18160,408,16,1_1,0x0,27,0,0
18160,409,0,1_1,0x0,27,0,1
18160,410,15,0_1,0x2,24,0,0
18160,414,15,0_1,0x30,24,0,0
18160,415,6,1_1,0x32,27,0,0
18160,415,7,1_1,0x64,26,0,1
18160,416,15,0_1,0x2,25,0,0
18160,417,11,0_1,0x30,25,0,0
18160,418,5,0_1,0x30,25,1,0
18160,418,16,1_1,0x32,27,0,0
18160,419,0,1_1,0x64,27,0,1
18160,419,2,1_1,0x65,27,0,2
18160,419,3,1_1,0x12c,27,0,3
18160,419,4,1_1,0x41a,27,0,4
18160,420,15,0_1,0x42,23,0,0
18160,421,6,1_1,0x32,27,0,0
18160,421,7,1_1,0x64,26,0,1
18160,422,15,0_1,0x30,24,0,0
18160,440,13,1_1,0x32,27,0,0
18160,490,15,0_1,0x30,24,0,0
18160,490,15,1_1,0x0,27,0,0
18160,491,6,1_1,0x0,27,0,0
18160,491,7,1_1,0x64,26,0,1
18160,492,15,0_1,0x62,22,0,0
18160,493,6,1_1,0x0,27,0,0
18160,493,7,1_1,0x33,26,0,1
18160,493,10,1_1,0x32,27,0,2
18160,493,12,1_1,0x65,27,0,3
18160,493,13,1_1,0x12c,27,0,4
18160,493,14,1_1,0x41a,27,0,5
18160,494,15,0_1,0x42,22,0,0
18160,495,11,0_1,0x30,24,0,0
18160,496,6,1_1,0x0,27,0,0
18160,496,7,1_1,0x64,26,0,1
18160,498,15,0_1,0x2,25,0,0
18160,524,15,0_1,0x30,25,0,0
18160,525,11,0_1,0x30,25,1,0
18160,526,5,1_1,0x32,27,0,0
18160,526,7,1_1,0x64,26,0,1
18160,528,15,0_1,0x62,22,0,0
18160,529,6,1_1,0x32,27,0,0
18160,529,7,1_1,0x33,26,0,1
18160,529,10,1_1,0x32,27,0,2
18160,529,12,1_1,0x65,27,0,3
18160,529,13,1_1,0xff,27,0,4
18160,529,14,1_1,0x3fc,27,0,5
18160,530,15,0_1,0x42,23,0,0
18160,531,6,1_1,0x0,27,0,0
18160,531,7,1_1,0x33,26,0,1
18160,532,15,0_1,0x42,23,0,0
18160,540,17,1_1,0x0,26,0,0
18160,558,15,0_1,0x30,25,0,0
18160,559,6,1_1,0x0,27,0,0
18160,559,7,1_1,0x64,26,0,1
18160,560,15,0_1,0x62,23,0,0
18160,561,6,1_1,0x0,27,0,0
18160,561,7,1_1,0x33,26,0,1
18160,561,10,1_1,0x0,27,0,2
18160,561,12,1_1,0x65,27,0,3
18160,561,13,1_1,0xff,27,0,4
18160,561,14,1_1,0x3fc,27,0,5
18160,562,15,0_1,0x62,21,0,0
18160,563,11,0_1,0x2,21,0,0
18160,564,6,1_1,0x32,27,0,0
18160,564,7,1_1,0x33,26,0,1
18160,566,15,0_1,0x42,23,0,0
18160,570,15,0_1,0x62,23,0,0
18160,571,6,1_1,0x32,27,0,0
18160,571,7,1_1,0x64,26,0,1
18160,572,15,0_1,0x42,21,0,0
18160,573,6,1_1,0x32,27,0,0
18160,573,7,1_1,0x33,26,0,1
18160,573,10,1_1,0x0,27,0,2
18160,573,12,1_1,0x65,27,0,3
18160,573,13,1_1,0x12c,27,0,4
18160,573,14,1_1,0x3fc,27,0,5
18160,574,15,0_1,0x42,23,0,0
18160,575,6,1_1,0x32,27,0,0
18160,575,7,1_1,0x33,26,0,1
18160,576,15,0_1,0x30,24,0,0
18160,591,0,1_1,0x32,27,0,0
18160,636,15,0_1,0x2,25,0,0
18160,637,6,1_1,0x32,27,0,0
18160,637,7,1_1,0x33,26,0,1
18160,638,15,0_1,0x2,24,0,0
18160,639,11,0_1,0x30,25,0,0
18160,640,5,0_1,0x30,25,1,0
18160,640,16,1_1,0x0,27,0,0
18160,641,0,1_1,0x64,27,0,1
18160,641,1,1_1,0x32,27,0,2
18160,641,2,1_1,0x65,27,0,3
18160,641,3,1_1,0x12c,27,0,4
18160,641,4,1_1,0x41a,27,0,5
18160,642,15,0_1,0x2,25,0,0
18160,643,11,0_1,0x2,25,0,0
18160,644,6,1_1,0x0,27,0,0
18160,644,7,1_1,0x33,26,0,1
18160,646,15,0_1,0x2,25,0,0
18160,662,15,0_1,0x2,25,0,0
18160,663,6,1_1,0x0,27,0,0
18160,663,7,1_1,0x33,26,0,1
18160,664,15,0_1,0x2,24,0,0
18160,665,11,0_1,0x2,24,0,0
18160,666,5,1_1,0x32,27,0,0
18160,666,7,1_1,0x33,26,0,1
18160,666,10,1_1,0x32,27,0,2
18160,666,12,1_1,0x65,26,0,3
18160,666,13,1_1,0x190,27,0,4
18160,666,14,1_1,0x41a,27,0,5
18160,668,15,0_1,0x2,25,0,0
18160,669,11,0_1,0x62,24,0,0
18160,670,5,1_1,0x32,27,0,0
18160,670,7,1_1,0x66,27,0,1
18160,672,15,0_1,0x42,22,0,0
18160,673,6,1_1,0x0,27,0,0
18160,673,7,1_1,0x64,26,0,1
18160,673,10,1_1,0x0,27,0,2
18160,673,12,1_1,0x65,27,0,3
18160,673,13,1_1,0x12c,27,0,4
18160,673,14,1_1,0x3fc,27,0,5
18160,674,15,0_1,0x62,23,0,0
18160,675,6,1_1,0x32,27,0,0
18160,675,7,1_1,0x33,26,0,1
18160,676,15,0_1,0x62,21,0,0
18160,691,3,1_1,0x32,27,0,0
18160,741,5,1_1,0x32,27,0,0
18160,768,15,0_1,0x42,21,0,0
18160,769,6,1_1,0x0,27,0,0
18160,769,7,1_1,0x33,26,0,1
18160,770,15,0_1,0x2,24,0,0
18160,771,11,0_1,0x2,25,0,0
18160,772,6,1_1,0x32,27,0,0
18160,772,7,1_1,0x64,26,0,1
18160,772,10,1_1,0x32,27,0,2
18160,772,12,1_1,0x65,26,0,3
18160,772,13,1_1,0x190,27,0,4
18160,772,14,1_1,0x41a,27,0,5
18160,774,15,0_1,0x2,24,0,0
18160,775,11,0_1,0x62,25,0,0
18160,776,6,1_1,0x0,27,0,0
18160,776,7,1_1,0x33,26,0,1
18160,778,15,0_1,0x2,25,0,0
18160,780,15,0_1,0x62,23,0,0
18160,781,6,1_1,0x32,27,0,0
18160,781,7,1_1,0x32,26,0,1
